rating,title,review,processed_review_tfidf,processed_review_tfidf_noun_only,processed_review_tfidf_adj_only
5,Cold coffee,Hands down the best cold coffee in a bottle,hand good cold coffee bottle,good cold coffee bottle,good cold
5,Awesome,I am so addicted to these ❤️❤️❤️❤️,addict ❤ ️ ❤ ️ ❤ ️ ❤ ️,addict ️ ❤ ❤,
5,came very fast,love these Things,love thing,love thing,
5,Starbucks vanilla Frappuccino is Wonderful,Starbucks stores don’t carry this item. It’s favorable and so worth the price.,Starbucks store carry item favorable worth price,Starbucks store item favorable worth price,favorable worth
5,Love Em,"Fast shipping, securely packaged great taste!!!",fast shipping securely package great taste,fast shipping great taste,fast great
5,Starbucks in Frappuccino 12 pack,Very happy with this delivery and the convenience of auto delivery. My husband is really loving his morning starbucks.,happy delivery convenience auto delivery husband love morning starbuck,happy delivery convenience auto delivery husband love morning starbuck,happy
5,Drink one everyday,Pure enjoyment,pure enjoyment,pure enjoyment,pure
5,Love my Frappuccino,Love my Frappuccino. I couldn’t find it anywhere 🙁 So of course I went to Amazon and they had it 😊I have to have my coffee in the morning😀,Love Frappuccino find 🙁 course go Amazon 😊 coffee morning 😀,Love Frappuccino 🙁 course Amazon,😊
5,A great way to start the day!,A tasty wake up -- coffee flavor is the best!,tasty wake coffee flavor well,coffee flavor,tasty
5,My favorite iced coffee,This is my favorite of all the iced coffees,favorite iced coffee,favorite iced coffee,favorite iced
5,My favorite afternoon pick me up,They are hard to find in stores now. Getting very expensive,hard find store get expensive,hard find store,hard expensive
5,Great taste,Love the taste,love taste,love taste,
5,Best drink in this universe,"I love this drink, it got me off of soda pop, to me that’s a plus 😁😁😁😁😁😁😁",love drink get soda pop plus 😁 😁 😁 😁 😁 😁 😁,love drink soda pop 😁 😁 😁 😁,
5,Much better price than other options.,Taste and value.,taste value,taste value,
5,Why is there a shortage on this flavor? NOBODY WANTS CHOCOLATE CHURRO COFFEE! Get it together,Delicious,Delicious,Delicious,
5,Good stuff,Pricey,Pricey,Pricey,
5,Everyone knows Starbucks,"Just like any other size of the same product only more calories at one time. If you worry about calories, pour half into a mug and save half for later. Trouble is, its too tasty to put down.",like size product calorie time worry calorie pour half mug save half later trouble tasty,size product calorie time calorie half mug trouble,tasty
5,Favorite drink when I can’t get to Starbucks!,"It’s pricey, but I love it. Vanilla is my favorite flavor in this brand. Purchase it regularly.",pricey love vanilla favorite flavor brand Purchase regularly,pricey love vanilla favorite flavor brand Purchase,pricey favorite
5,Mocha Smooth Flavor,"Caution, Starbucks Frappuccino Coffee Mocha Drink is so delicious and smooth, you'll want one of them once or twice a day. This is a fabulous tasting coffee drink. Highly recommended.",Caution Starbucks Frappuccino Coffee Mocha Drink delicious smooth want twice day fabulous tasting coffee drink highly recommend,Caution Starbucks Frappuccino Coffee Mocha Drink fabulous tasting coffee drink,delicious smooth twice fabulous
5,Starbucks Frappuccino Coffee Drink - Vanilla/13.7 oz bottles (12 pack),Fantastic coffee drink that really hit's the stop; really worth trying if you haven't done so. Book size is perfect; will fit in your pocket so you can enjoy on anytime of day!!!,fantastic coffee drink hit stop worth try Book size perfect fit pocket enjoy anytime day,fantastic coffee drink stop Book size perfect fit pocket,fantastic worth perfect fit
